ID,Player,Seasons_played,Pos_PG_1_5,Pos_SG_1_5,Pos_SF_1_5,Pos_PF_1_5,Pos_C_1_5,G_1_5,GS_1_5,MP_1_5,FG_1_5,FGA_1_5,FG%_1_5,3P_1_5,3PA_1_5,3P%_1_5,2P_1_5,2PA_1_5,2P%_1_5,eFG%_1_5,FT_1_5,FTA_1_5,FT%_1_5,ORB_1_5,DRB_1_5,TRB_1_5,AST_1_5,STL_1_5,BLK_1_5,TOV_1_5,PF_1_5,PTS_1_5,PER_1_5,TS%_1_5,3PAr_1_5,FTr_1_5,ORB%_1_5,DRB%_1_5,TRB%_1_5,AST%_1_5,STL%_1_5,BLK%_1_5,TOV%_1_5,USG%_1_5,OWS_1_5,DWS_1_5,WS_1_5,WS/48_1_5,OBPM_1_5,DBPM_1_5,BPM_1_5,VORP_1_5,Trp-Dbl_1_5,MVP_1_5,NBA1_1_5,NBA2_1_5,NBA3_1_5,AS_1_5,MIP_1_5,ROY_1_5,MVP_Top5_1_5,Player_class
4,Mahmoud Abdul-Rauf,8,1,0,0,0,0,76.4,46.4,27.24,6.46,14.54,0.443,0.66,1.94,0.325,5.8,12.58,0.46,0.465,1.96,2.14,0.901,0.42,1.54,2.0,3.56,0.88,0.08,1.76,1.92,15.52,14.98,0.499,0.134,0.145,0.017,0.063,0.039,0.216,0.016,0.002,0.104,0.26,2.06,1.28,3.3,0.064,0.3,-1.56,-1.24,0.68,0.0,0,0,0,0,0,1,0,0,bench
6,Shareef Abdur-Rahim,11,0,0,1,0,0,75.0,73.2,38.14,7.46,16.18,0.461,0.22,0.72,0.293,7.24,15.42,0.47,0.468,5.84,7.28,0.803,2.54,5.6,8.14,2.92,1.14,1.02,3.1,2.72,20.96,19.7,0.541,0.045,0.448,0.077,0.171,0.124,0.146,0.016,0.019,0.138,0.269,4.7,1.64,6.34,0.106,2.18,-1.02,1.16,2.28,1.0,0,0,0,0,0,0,0,0,starter
23,Michael Adams,8,1,0,0,0,0,73.4,58.4,32.08,5.44,13.12,0.417,1.76,5.26,0.332,3.68,7.88,0.468,0.482,3.66,4.3,0.846,0.7,2.3,3.02,6.64,1.84,0.1,2.16,1.84,16.32,17.02,0.541,0.387,0.317,0.022,0.077,0.048,0.266,0.026,0.002,0.128,0.198,4.24,2.1,6.34,0.125,2.4,0.3,2.74,2.88,1.0,0,0,0,0,0,0,0,0,starter
24,Steven Adams,11,0,0,0,0,1,77.4,64.6,25.58,3.62,6.18,0.572,0.0,0.0,0.0,3.62,6.16,0.573,0.572,1.6,2.82,0.567,3.18,3.8,7.0,0.9,0.76,1.0,1.38,2.74,8.84,15.58,0.586,0.002,0.501,0.137,0.164,0.151,0.051,0.015,0.033,0.165,0.143,3.4,2.5,5.94,0.139,-0.62,0.14,-0.48,0.88,0.0,0,0,0,0,0,0,0,0,starter
26,Bam Adebayo,8,0,0,0,0,1,68.6,47.8,28.56,5.28,9.46,0.554,0.0,0.14,0.119,5.28,9.32,0.562,0.555,3.32,4.46,0.74,2.14,6.24,8.42,3.52,1.02,0.9,2.1,2.48,13.9,19.68,0.605,0.018,0.477,0.088,0.238,0.164,0.188,0.017,0.03,0.155,0.203,3.9,3.18,7.1,0.174,0.9,1.8,2.7,2.42,5.0,0,0,0,0,1,0,0,0,all-star
30,Arron Afflalo,11,0,1,0,0,0,72.4,44.6,24.8,3.24,6.96,0.456,0.98,2.44,0.373,2.26,4.5,0.491,0.522,1.56,1.96,0.796,0.58,2.12,2.7,1.56,0.5,0.26,0.88,2.02,9.04,11.66,0.564,0.339,0.276,0.03,0.102,0.066,0.09,0.011,0.008,0.103,0.155,2.72,1.16,3.9,0.1,-0.5,-0.1,-0.6,0.78,0.0,0,0,0,0,0,0,0,0,starter
33,Mark Aguirre,13,0,0,1,0,0,73.0,65.2,33.48,9.52,19.1,0.496,0.28,0.98,0.287,9.24,18.16,0.507,0.504,4.86,6.68,0.724,2.18,3.62,5.82,3.9,0.86,0.3,3.2,3.06,24.18,20.36,0.546,0.053,0.347,0.072,0.124,0.098,0.188,0.012,0.005,0.128,0.309,4.58,1.32,5.94,0.109,3.34,-1.7,1.64,2.34,2.0,0,0,0,0,1,0,0,0,all-star
35,Danny Ainge,14,0,1,0,0,0,71.8,46.2,23.36,3.66,7.54,0.469,0.16,0.52,0.273,3.52,6.98,0.483,0.479,1.14,1.34,0.839,0.7,1.68,2.38,3.48,1.1,0.1,1.36,2.48,8.6,12.3,0.518,0.071,0.19,0.036,0.074,0.056,0.191,0.023,0.002,0.147,0.171,2.1,2.1,4.18,0.1,-1.42,0.88,-0.54,0.94,0.0,0,0,0,0,0,0,0,0,starter
47,LaMarcus Aldridge,16,0,0,0,1,0,75.8,67.6,34.24,6.94,14.14,0.493,0.04,0.18,0.176,6.92,13.96,0.497,0.494,2.94,3.84,0.763,2.8,4.58,7.38,1.62,0.78,1.04,1.42,2.9,16.92,18.88,0.534,0.013,0.268,0.1,0.165,0.132,0.083,0.012,0.025,0.081,0.234,5.04,2.78,7.8,0.139,1.18,-0.5,0.68,1.98,0.0,0,0,0,1,0,0,0,0,all-star
58,Nickeil Alexander-Walker,6,0,1,0,0,0,59.8,11.6,19.1,3.06,7.56,0.408,1.38,3.92,0.356,1.68,3.62,0.468,0.503,0.8,1.14,0.723,0.36,1.96,2.3,2.16,0.68,0.4,1.16,1.58,8.3,10.88,0.523,0.527,0.153,0.02,0.114,0.067,0.166,0.017,0.017,0.132,0.207,-0.06,1.22,1.2,0.037,-1.78,-0.14,-1.9,0.16,0.0,0,0,0,0,0,0,0,0,bench
