ID,Player,Seasons_played,Pos_PG_1_1,Pos_SG_1_1,Pos_SF_1_1,Pos_PF_1_1,Pos_C_1_1,G_1_1,GS_1_1,MP_1_1,FG_1_1,FGA_1_1,FG%_1_1,3P_1_1,3PA_1_1,3P%_1_1,2P_1_1,2PA_1_1,2P%_1_1,eFG%_1_1,FT_1_1,FTA_1_1,FT%_1_1,ORB_1_1,DRB_1_1,TRB_1_1,AST_1_1,STL_1_1,BLK_1_1,TOV_1_1,PF_1_1,PTS_1_1,PER_1_1,TS%_1_1,3PAr_1_1,FTr_1_1,ORB%_1_1,DRB%_1_1,TRB%_1_1,AST%_1_1,STL%_1_1,BLK%_1_1,TOV%_1_1,USG%_1_1,OWS_1_1,DWS_1_1,WS_1_1,WS/48_1_1,OBPM_1_1,DBPM_1_1,BPM_1_1,VORP_1_1,Trp-Dbl_1_1,MVP_1_1,NBA1_1_1,NBA2_1_1,NBA3_1_1,AS_1_1,MIP_1_1,ROY_1_1,MVP_Top5_1_1,Player_class
4,Mahmoud Abdul-Rauf,8,1,0,0,0,0,67.0,19.0,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,12.2,0.448,0.099,0.097,0.019,0.06,0.038,0.192,0.015,0.001,0.095,0.272,-0.7,-0.3,-1.0,-0.031,-2.0,-3.0,-5.0,-1.1,0.0,0,0,0,0,0,0,0,0,bench
6,Shareef Abdur-Rahim,11,0,0,0,1,0,80.0,71.0,35.0,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,17.4,0.518,0.022,0.428,0.088,0.142,0.115,0.121,0.015,0.022,0.135,0.276,1.7,1.2,2.9,0.049,0.3,-2.1,-1.8,0.2,1.0,0,0,0,0,0,0,0,0,starter
23,Michael Adams,8,1,0,0,0,0,63.0,0.0,20.7,2.5,6.2,0.407,0.4,1.6,0.275,2.1,4.6,0.454,0.443,1.7,2.0,0.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2,14.3,0.506,0.26,0.316,0.03,0.07,0.05,0.257,0.031,0.003,0.153,0.163,1.2,1.5,2.7,0.099,0.0,1.2,1.2,1.0,0.0,0,0,0,0,0,0,0,0,starter
24,Steven Adams,11,0,0,0,0,1,81.0,20.0,14.8,1.1,2.3,0.503,0.0,0.0,0.0,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,11.2,0.541,0.0,0.735,0.141,0.171,0.156,0.049,0.017,0.039,0.225,0.117,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1,0.0,0,0,0,0,0,0,0,0,starter
26,Bam Adebayo,8,0,0,0,0,1,69.0,19.0,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,15.7,0.57,0.021,0.526,0.097,0.216,0.156,0.11,0.012,0.025,0.136,0.159,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6,0.0,0,0,0,0,0,0,0,0,all-star
30,Arron Afflalo,11,0,1,0,0,0,75.0,9.0,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,10.2,0.494,0.199,0.361,0.044,0.125,0.084,0.081,0.018,0.007,0.109,0.152,0.5,1.4,1.9,0.092,-2.6,1.0,-1.5,0.1,0.0,0,0,0,0,0,0,0,0,starter
33,Mark Aguirre,13,0,0,1,0,0,51.0,20.0,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7.0,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,17.3,0.514,0.087,0.301,0.067,0.129,0.097,0.186,0.012,0.009,0.127,0.298,1.0,0.8,1.9,0.061,2.3,-1.6,0.7,1.0,0.0,0,0,0,0,0,0,0,0,all-star
35,Danny Ainge,14,0,1,0,0,0,53.0,1.0,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1,10.1,0.439,0.077,0.294,0.05,0.059,0.055,0.197,0.031,0.003,0.175,0.215,-0.3,0.8,0.5,0.042,-3.7,1.0,-2.7,-0.1,0.0,0,0,0,0,0,0,0,0,starter
47,LaMarcus Aldridge,16,0,0,0,0,1,63.0,22.0,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,17.1,0.533,0.004,0.24,0.126,0.153,0.139,0.032,0.009,0.042,0.075,0.193,2.5,1.0,3.4,0.118,-0.4,-1.0,-1.4,0.2,0.0,0,0,0,0,0,0,0,0,all-star
58,Nickeil Alexander-Walker,6,0,1,0,0,0,47.0,1.0,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,8.9,0.473,0.5,0.139,0.016,0.135,0.075,0.211,0.013,0.011,0.161,0.233,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,0.0,0,0,0,0,0,0,0,0,bench
